group,variable,value
AL,202001,49.6
AL,202002,51.0
AL,202003,63.4
AL,202004,62.0
AL,202005,68.9
AL,202006,76.9
AL,202007,80.8
AL,202008,80.2
AL,202009,74.4
AL,202010,66.9
AL,202011,58.4
AL,202012,45.8
AZ,202001,43.8
AZ,202002,46.0
AZ,202003,51.0
AZ,202004,59.3
AZ,202005,70.6
AZ,202006,76.8
AZ,202007,82.8
AZ,202008,84.2
AZ,202009,75.7
AZ,202010,66.4
AZ,202011,53.6
AZ,202012,42.1
AR,202001,43.9
AR,202002,44.4
AR,202003,56.5
AR,202004,58.8
AR,202005,66.8
AR,202006,76.4
AR,202007,81.3
AR,202008,77.8
AR,202009,71.8
AR,202010,59.6
AR,202011,54.1
AR,202012,42.7
CA,202001,45.3
CA,202002,49.2
CA,202003,48.0
CA,202004,56.6
CA,202005,64.6
CA,202006,70.5
CA,202007,76.6
CA,202008,78.9
CA,202009,74.0
CA,202010,66.3
CA,202011,50.9
CA,202012,45.5
CO,202001,27.5
CO,202002,26.5
CO,202003,38.8
CO,202004,43.3
CO,202005,55.6
CO,202006,65.0
CO,202007,69.3
CO,202008,70.0
CO,202009,58.8
CO,202010,47.1
CO,202011,38.5
CO,202012,26.8
CT,202001,33.0
CT,202002,33.7
CT,202003,41.3
CT,202004,44.4
CT,202005,56.3
CT,202006,68.4
CT,202007,75.5
CT,202008,72.6
CT,202009,63.4
CT,202010,53.2
CT,202011,45.4
CT,202012,33.6
DE,202001,40.3
DE,202002,42.0
DE,202003,49.6
DE,202004,52.0
DE,202005,60.8
DE,202006,73.8
DE,202007,80.8
DE,202008,77.4
DE,202009,68.9
DE,202010,60.2
DE,202011,51.9
DE,202012,39.9
FL,202001,61.7
FL,202002,63.6
FL,202003,71.0
FL,202004,73.1
FL,202005,75.6
FL,202006,81.1
FL,202007,83.0
FL,202008,83.2
FL,202009,80.6
FL,202010,77.1
FL,202011,70.8
FL,202012,57.6
GA,202001,51.4
GA,202002,51.8
GA,202003,63.1
GA,202004,63.1
GA,202005,69.2
GA,202006,76.9
GA,202007,81.5
GA,202008,80.4
GA,202009,74.3
GA,202010,68.5
GA,202011,60.4
GA,202012,46.4
ID,202001,27.3
ID,202002,26.3
ID,202003,35.1
ID,202004,41.6
ID,202005,50.6
ID,202006,56.2
ID,202007,65.0
ID,202008,67.1
ID,202009,58.7
ID,202010,45.3
ID,202011,32.8
ID,202012,26.2
IL,202001,31.9
IL,202002,32.0
IL,202003,44.4
IL,202004,49.6
IL,202005,60.6
IL,202006,73.7
IL,202007,77.3
IL,202008,72.9
IL,202009,65.7
IL,202010,52.0
IL,202011,47.1
IL,202012,33.0
IN,202001,34.3
IN,202002,32.8
IN,202003,44.6
IN,202004,48.9
IN,202005,59.7
IN,202006,72.0
IN,202007,76.4
IN,202008,72.0
IN,202009,65.2
IN,202010,53.0
IN,202011,46.6
IN,202012,33.6
IA,202001,23.1
IA,202002,24.9
IA,202003,40.3
IA,202004,46.7
IA,202005,57.6
IA,202006,72.9
IA,202007,75.4
IA,202008,72.0
IA,202009,62.0
IA,202010,46.0
IA,202011,42.0
IA,202012,27.2
KS,202001,34.0
KS,202002,34.9
KS,202003,48.0
KS,202004,52.6
KS,202005,61.7
KS,202006,77.7
KS,202007,79.2
KS,202008,76.4
KS,202009,66.4
KS,202010,52.6
KS,202011,48.1
KS,202012,35.9
KY,202001,40.2
KY,202002,39.6
KY,202003,51.3
KY,202004,52.8
KY,202005,62.3
KY,202006,72.6
KY,202007,78.7
KY,202008,74.8
KY,202009,68.2
KY,202010,57.7
KY,202011,50.0
KY,202012,37.3
LA,202001,53.7
LA,202002,54.2
LA,202003,67.3
LA,202004,66.6
LA,202005,73.1
LA,202006,79.6
LA,202007,82.7
LA,202008,82.3
LA,202009,77.6
LA,202010,68.2
LA,202011,62.0
LA,202012,50.8
ME,202001,20.8
ME,202002,20.1
ME,202003,29.6
ME,202004,37.8
ME,202005,51.2
ME,202006,62.5
ME,202007,68.9
ME,202008,65.6
ME,202009,56.8
ME,202010,44.7
ME,202011,37.0
ME,202012,27.3
MD,202001,39.1
MD,202002,41.0
MD,202003,49.3
MD,202004,51.7
MD,202005,60.6
MD,202006,72.7
MD,202007,80.2
MD,202008,76.6
MD,202009,67.3
MD,202010,59.0
MD,202011,50.9
MD,202012,38.3
MA,202001,32.0
MA,202002,32.4
MA,202003,40.1
MA,202004,43.1
MA,202005,56.1
MA,202006,67.4
MA,202007,74.5
MA,202008,71.7
MA,202009,62.7
MA,202010,52.4
MA,202011,44.7
MA,202012,33.1
MI,202001,27.0
MI,202002,23.6
MI,202003,35.0
MI,202004,40.2
MI,202005,53.2
MI,202006,65.8
MI,202007,72.4
MI,202008,68.6
MI,202009,58.1
MI,202010,44.3
MI,202011,41.1
MI,202012,28.6
MN,202001,14.0
MN,202002,14.0
MN,202003,30.4
MN,202004,39.4
MN,202005,53.5
MN,202006,67.7
MN,202007,71.4
MN,202008,68.2
MN,202009,56.5
MN,202010,39.0
MN,202011,34.0
MN,202012,21.1
MS,202001,50.0
MS,202002,50.6
MS,202003,63.8
MS,202004,62.6
MS,202005,69.9
MS,202006,78.0
MS,202007,81.8
MS,202008,80.2
MS,202009,75.2
MS,202010,65.7
MS,202011,58.2
MS,202012,46.6
MO,202001,34.5
MO,202002,35.5
MO,202003,48.8
MO,202004,53.0
MO,202005,62.0
MO,202006,75.1
MO,202007,79.1
MO,202008,74.2
MO,202009,67.2
MO,202010,53.6
MO,202011,49.6
MO,202012,36.3
MT,202001,23.4
MT,202002,25.5
MT,202003,31.5
MT,202004,38.2
MT,202005,50.5
MT,202006,59.3
MT,202007,65.6
MT,202008,67.3
MT,202009,57.0
MT,202010,39.2
MT,202011,32.8
MT,202012,28.4
NE,202001,27.3
NE,202002,29.6
NE,202003,41.1
NE,202004,46.1
NE,202005,56.8
NE,202006,73.5
NE,202007,75.4
NE,202008,74.1
NE,202009,62.7
NE,202010,46.4
NE,202011,42.6
NE,202012,31.3
NV,202001,35.3
NV,202002,36.3
NV,202003,40.4
NV,202004,48.7
NV,202005,58.8
NV,202006,65.0
NV,202007,74.2
NV,202008,75.6
NV,202009,66.5
NV,202010,55.2
NV,202011,40.5
NV,202012,32.3
NH,202001,25.1
NH,202002,24.1
NH,202003,34.1
NH,202004,39.5
NH,202005,53.4
NH,202006,63.9
NH,202007,71.0
NH,202008,66.6
NH,202009,58.5
NH,202010,47.1
NH,202011,38.6
NH,202012,27.9
NJ,202001,37.2
NJ,202002,39.1
NJ,202003,46.3
NJ,202004,48.6
NJ,202005,59.1
NJ,202006,71.5
NJ,202007,78.7
NJ,202008,75.5
NJ,202009,66.7
NJ,202010,57.0
NJ,202011,49.2
NJ,202012,37.1
NM,202001,37.1
NM,202002,38.5
NM,202003,48.0
NM,202004,54.0
NM,202005,65.1
NM,202006,72.4
NM,202007,76.6
NM,202008,76.2
NM,202009,65.2
NM,202010,56.6
NM,202011,47.5
NM,202012,35.0
NY,202001,27.7
NY,202002,26.6
NY,202003,37.2
NY,202004,41.0
NY,202005,54.1
NY,202006,65.2
NY,202007,72.9
NY,202008,68.5
NY,202009,59.6
NY,202010,49.0
NY,202011,41.8
NY,202012,29.7
NC,202001,46.0
NC,202002,47.1
NC,202003,55.9
NC,202004,57.5
NC,202005,63.6
NC,202006,73.3
NC,202007,79.7
NC,202008,77.6
NC,202009,69.8
NC,202010,63.2
NC,202011,54.9
NC,202012,42.4
ND,202001,12.8
ND,202002,17.8
ND,202003,29.8
ND,202004,37.6
ND,202005,52.5
ND,202006,67.0
ND,202007,70.3
ND,202008,69.2
ND,202009,57.1
ND,202010,37.8
ND,202011,31.9
ND,202012,23.4
OH,202001,35.0
OH,202002,32.8
OH,202003,44.7
OH,202004,47.8
OH,202005,58.4
OH,202006,70.4
OH,202007,76.8
OH,202008,72.2
OH,202009,64.6
OH,202010,53.4
OH,202011,46.4
OH,202012,33.6
OK,202001,42.2
OK,202002,41.8
OK,202003,55.4
OK,202004,57.9
OK,202005,67.2
OK,202006,78.8
OK,202007,82.5
OK,202008,79.4
OK,202009,70.3
OK,202010,58.3
OK,202011,53.5
OK,202012,41.0
OR,202001,35.0
OR,202002,35.9
OR,202003,38.8
OR,202004,46.4
OR,202005,52.6
OR,202006,57.9
OR,202007,66.0
OR,202008,67.2
OR,202009,62.6
OR,202010,51.3
OR,202011,38.3
OR,202012,34.2
PA,202001,32.2
PA,202002,33.3
PA,202003,42.5
PA,202004,45.0
PA,202005,56.0
PA,202006,67.3
PA,202007,74.9
PA,202008,71.6
PA,202009,62.1
PA,202010,52.2
PA,202011,44.8
PA,202012,32.1
RI,202001,35.3
RI,202002,35.4
RI,202003,42.6
RI,202004,44.1
RI,202005,56.6
RI,202006,68.2
RI,202007,75.5
RI,202008,73.9
RI,202009,64.5
RI,202010,54.6
RI,202011,47.5
RI,202012,35.7
SC,202001,50.4
SC,202002,50.9
SC,202003,60.5
SC,202004,62.3
SC,202005,68.2
SC,202006,76.3
SC,202007,82.0
SC,202008,80.1
SC,202009,73.3
SC,202010,67.4
SC,202011,59.4
SC,202012,45.7
SD,202001,20.1
SD,202002,23.5
SD,202003,36.4
SD,202004,42.0
SD,202005,54.2
SD,202006,70.3
SD,202007,73.6
SD,202008,72.6
SD,202009,60.4
SD,202010,41.2
SD,202011,38.5
SD,202012,28.3
TN,202001,43.0
TN,202002,43.3
TN,202003,54.7
TN,202004,55.4
TN,202005,64.0
TN,202006,73.5
TN,202007,79.2
TN,202008,76.3
TN,202009,69.8
TN,202010,60.4
TN,202011,52.0
TN,202012,39.5
TX,202001,50.8
TX,202002,49.5
TX,202003,63.2
TX,202004,65.1
TX,202005,74.5
TX,202006,80.6
TX,202007,85.2
TX,202008,84.4
TX,202009,74.1
TX,202010,65.9
TX,202011,60.6
TX,202012,48.4
UT,202001,28.7
UT,202002,31.0
UT,202003,40.7
UT,202004,47.4
UT,202005,58.9
UT,202006,65.4
UT,202007,73.8
UT,202008,75.9
UT,202009,64.0
UT,202010,52.9
UT,202011,38.8
UT,202012,27.5
VT,202001,23.3
VT,202002,22.3
VT,202003,33.0
VT,202004,38.8
VT,202005,52.6
VT,202006,62.7
VT,202007,70.9
VT,202008,65.2
VT,202009,57.1
VT,202010,46.4
VT,202011,37.9
VT,202012,27.2
VA,202001,40.6
VA,202002,42.4
VA,202003,51.6
VA,202004,53.3
VA,202005,60.4
VA,202006,71.3
VA,202007,78.6
VA,202008,75.4
VA,202009,66.3
VA,202010,59.0
VA,202011,51.2
VA,202012,38.4
WA,202001,34.2
WA,202002,35.6
WA,202003,38.2
WA,202004,46.0
WA,202005,53.4
WA,202006,57.9
WA,202007,64.8
WA,202008,65.7
WA,202009,61.2
WA,202010,48.3
WA,202011,37.6
WA,202012,33.7
WV,202001,37.3
WV,202002,38.0
WV,202003,47.8
WV,202004,48.9
WV,202005,57.9
WV,202006,68.0
WV,202007,75.6
WV,202008,72.4
WV,202009,64.2
WV,202010,55.4
WV,202011,47.4
WV,202012,34.2
WI,202001,21.6
WI,202002,19.2
WI,202003,34.4
WI,202004,40.7
WI,202005,54.1
WI,202006,66.6
WI,202007,72.0
WI,202008,68.4
WI,202009,57.3
WI,202010,41.3
WI,202011,38.6
WI,202012,24.2
WY,202001,23.8
WY,202002,20.0
WY,202003,33.0
WY,202004,37.6
WY,202005,50.3
WY,202006,59.6
WY,202007,66.6
WY,202008,67.9
WY,202009,55.5
WY,202010,41.2
WY,202011,33.0
WY,202012,24.4
